 mean_spb1 mean_nuc1 prob1 mean_spb2 mean_nuc2 prob2 mean_spb3 mean_nuc3 prob3 mean_spb4 mean_nuc4 prob4 mean_spb5 mean_nuc5 prob5 mean_spb6 mean_nuc6 prob6 mean_spb7 mean_nuc7 prob7 mean_spb8 mean_nuc8 prob8 mean_spb9 mean_nuc9 prob9 mean_spb10 mean_nuc10 prob10
43 1.3957184290377471 1.9272817180401112 0.18082463984103328 1.3202060635148185 2.373432629218194 0.3591654247391952 1.187650021810227 2.155345892983351 0.5211127670144063 1.2558328670273438 1.6720264142453294 0.6443119721808246 1.5234024563038155 2.230093263881363 0.7446597118728265 1.4083018804326626 1.4194559320635454 0.8410332836562344 0.9822260827059832 1.502693233751333 0.9309488325881767 1.0322752608819767 1.904331015228939 1.0 0.0 0.0 0.0 0.0 0.0 0.0
65 1.5003339086551195 2.238362441397124 0.1919232307077169 1.2059040970579158 2.2722646396757193 0.38144742103158735 1.3700503404875493 1.9310087407456964 0.5193922431027589 1.3019476058665165 1.6240895356337053 0.652139144342263 1.5755526610149206 1.3326059613974055 0.7497001199520191 1.0978890500433256 1.9941628746217257 0.8424630147940824 1.006381211651619 1.6911826283800178 0.924030387844862 1.0041687678001807 1.3998056031344068 1.0 0.0 0.0 0.0 0.0 0.0 0.0
110 1.076324142744992 2.1497915878843967 0.15372718836993504 0.9918175201432424 1.758499283770704 0.28611197030621716 1.385189896422987 2.180363426049616 0.40736158366841946 1.5297495720085754 1.8785343183124648 0.5261367151252707 1.6013225667621325 1.2387955845861718 0.6439839158676153 1.3108740187405703 1.6207491437115982 0.7581193937519333 1.2261937026772864 1.9154336364186155 0.8645221156820292 1.2314332133616048 2.427036864322204 0.9548407052273431 1.0258823218225288 1.34965529005697 1.0 0.0 0.0 0.0
182 1.325179937433503 2.202823947947269 0.2068466730954677 1.4880853910160383 1.4835758053336952 0.3958534233365477 1.6335451306465574 1.9535404381816384 0.5785920925747348 1.3326172345393412 1.7921927430193516 0.7227579556412729 1.0468729791196745 1.5098462746982158 0.8297974927675988 1.0713225233865111 1.9830930479399476 0.9368370298939248 1.2894335562860726 1.0644562844694183 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
205 1.4894165321933002 1.9134270753268765 0.16095380029806258 1.5407611421466387 1.4922827867531256 0.3045206159960258 1.7386023684115748 1.9809146969099936 0.4421261798310978 1.3298469853933073 2.3035989815680704 0.548435171385991 1.3117621359737062 1.6420937995700036 0.6522603079980128 1.6013051144508508 1.0689375570186472 0.7426726279185295 1.1955549564376369 2.0094363178519865 0.8315946348733233 1.0804996320514042 1.302190664950314 0.9100844510680575 1.0229274170144558 1.7281430821356274 0.9850968703427718 2.201983560164752 2.63599973239234 0.9999999999999999
217 1.1275062253478525 2.0194604242561507 0.14307004470938897 1.4780223570623985 1.4684027438203957 0.2857675111773472 1.5085753344824206 1.0800076147931488 0.4098360655737705 1.16715566335522 1.3069558149006122 0.5257078986587184 1.4685409344645433 1.997513413910168 0.6363636363636364 1.6166019959554216 1.7882450196093091 0.7455290611028316 1.405725674087955 2.311067474651023 0.8453800298062593 1.286304967972934 1.6922743590066078 0.9407600596125185 0.9477200783588892 1.5467332728116416 0.9999999999999999 0.0 0.0 0.0
255 1.1438470755637231 2.0565020180676683 0.13891285591026747 1.309389032367266 1.701930165235404 0.27653149266609145 1.4622504615400018 1.9546428809622296 0.40379637618636754 1.4588281290574192 1.4048495345998324 0.5306298533218292 1.684951413054346 1.7350665544264423 0.6566005176876618 1.50735087204783 0.9695478441290362 0.7489214840379638 1.054596908255121 1.2860257480313535 0.8403796376186368 1.44416041488598 2.3825559578492794 0.9301121656600518 1.0331433792433695 1.6966278812673143 1.0 0.0 0.0 0.0
297 1.5364847095805099 1.8467945070037484 0.1871584699453552 1.6664444358788872 1.4765051301484076 0.3542805100182149 1.3466344790298062 1.5311797916374683 0.5122950819672131 1.5026291919678352 1.0794631131698906 0.6407103825136612 1.3957279412297403 2.256895491419584 0.7654826958105646 1.1899999807511528 1.9207066083580744 0.8847905282331512 1.0193556782673938 1.5642457239287313 0.9558287795992714 1.0469298762106598 1.1849133470587798 1.0 0.0 0.0 0.0 0.0 0.0 0.0
314 1.3715705756269505 1.9037994548055552 0.1807592752372735 1.5074967273645117 1.6192156510982336 0.3541846419327006 1.155977621021656 2.1360661038151965 0.48748921484037966 1.023454298183577 1.6953230092086693 0.6091458153580673 1.1902068512858754 1.4206891103970003 0.7295081967213115 1.4893688824130389 1.2475037167629883 0.8369283865401208 1.400780678694053 2.258224878721481 0.9253666954270924 1.6957991155830308 1.9213802127206208 1.0 0.0 0.0 0.0 0.0 0.0 0.0
332 1.6384600366890123 1.5193016924344491 0.24533634821933295 1.3978024375136069 1.8406386115434217 0.42792538157150933 1.493360194823156 2.205209550503392 0.5958168456755228 1.3915468461740337 1.1843525274562716 0.7269643866591294 1.3380350608395049 1.5307168787905585 0.8241944601469757 1.1245533885859893 2.0715826225889766 0.8993781797625777 1.0189027243088893 1.3432050365952857 0.9621254946297343 1.0593599166661338 1.7571460081924912 1.0 0.0 0.0 0.0 0.0 0.0 0.0
